question_number,statement,question_a,question_b,question_c,question_d,question_e,source,answer
11,"Júnior optou por se mudar para a cidade de Boituva nas proximidades de um centro de treinamento T. 
 
Nessa cidade, ele encontrou algumas opções de imóveis, que denominou A, B, C e D. Além disso, ele descobriu que o 
ruído gerado pelas aeronaves do centro de treinamento podia ser ouvido em uma região com centro em T e raio de 6 km.
Ao representar esses imóveis e o centro de treinamento em um plano cartesiano, cujos eixos têm escalas em 
kilômetros, ele obteve as coordenadas:
T(0,0) A(0,7) B(1,6) C(2,5) D(3,4)
Com base nessas informações, são imóveis que estão fora da zona de ruído",A e B,A e C,A e D,B e C,B e D,Vestibulinho 1SEM2022,A
12,"A origem do fordismo remonta à Segunda Revolução 
Industrial, implementada a partir do final do 
século XIX nos países mais desenvolvidos do 
globo. O avanço da industrialização resultou na 
necessidade da criação de técnicas de produção que 
abrangessem uma qualidade produtiva atrelada à 
rapidez do processo de produção fabril. Portanto, 
foram desenhados modelos de produção industrial 
para a época.
Entre as principais características do sistema de produção mencionado no texto, podemos apontar corretamente","a informatização, a substituição dos trabalhadores por robôs e o consequente aumento dos índices de desemprego","a redução da jornada de trabalho, a ampliação dos direitos trabalhistas e o incentivo ao ócio e à criatividade dos 
trabalhadores","a produção artesanal de mercadorias, realizada em espaços domésticos; e a utilização de mão de obra escravizada, 
proveniente da África","a linha de montagem automatizada, com a utilização de esteiras rolantes; e a especialização produtiva do 
trabalhador, que realizava parte das etapas da produção","a localização das fábricas, que privilegiava a criação de empregos nos países pobres; e o investimento na formação 
do trabalhador, que deveria conhecer todas as etapas do processo produtivo",Vestibulinho 1SEM2022,D
13,"Thomas Robert Malthus foi um economista que em 1798 escreveu um livro denominado Ensaio Sobre a População no 
qual defendia ser o ritmo do crescimento populacional maior que o ritmo do crescimento da produção de alimentos e, 
portanto, faltariam alimentos.
As previsões de Malthus não se concretizaram, pois","a população mundial diminuiu lenta e continuamente, até os dias de hoje e, portanto, a necessidade por alimentos 
também diminuiu no mesmo ritmo","os trabalhadores urbanos, na Revolução Industrial, dividiam seu tempo entre o trabalho em fábricas e em atividades 
ligadas à horticultura, cultivando seu próprio alimento e, dessa forma, acabando com a fome no mundo","novas tecnologias surgiram e foram incorporadas ao processo produtivo nos campos, fazendo aumentar a 
produção de alimentos, em função do desenvolvimento tecnológico proporcionado pela Revolução Industrial","as pessoas se dirigiram em grande quantidade, com o avanço da Revolução Industrial, para as zonas rurais atrás de 
emprego, causando um esvaziamento das cidades e aumentando a produção de gêneros alimentícios nos campos","os proprietários das fábricas, durante a Revolução Industrial, preocupados com a qualidade de vida de seus 
trabalhadores e de suas famílias, criaram um projeto de distribuição de cestas básicas para as famílias de 
trabalhadores sindicalizados, com o intuito de fidelizar a mão de obra",Vestibulinho 1SEM2022,C
14,"Elementos de coesão são palavras e locuções utilizadas dentro de um texto para conectar expressões, orações, 
períodos e parágrafos.
Sobre os elementos coesivos destacados no texto, é correto afirmar que","“para”, no segundo parágrafo, expressa ideia de finalidade, evidenciando o objetivo de um empreendedor 
tradicional, e tem sentido equivalente a “a fim de”","“para”, no terceiro parágrafo, é utilizado para indicar a direção de um projeto social e pode ser substituído pela 
expressão “defronte a”","“porém”, no terceiro parágrafo, expressa ideia de consequência, pois a geração de renda leva à redução de 
desigualdade social, e equivale a “entretanto”","“e”, no terceiro parágrafo, apesar de ser normalmente utilizado para expressar sentido de adição, no texto é 
empregado como oposição, equivalendo a “mas”","“uma vez que”, no quarto parágrafo, corresponde a “porque”, pois explica a eficácia da atuação do empreendedor 
social diante de problemas muito complexos",Vestibulinho 1SEM2022,A
15,"Com base nas informações apresentadas no texto, é correto afirmar que",os conceitos de empreendedorismo estão conectados essencialmente à aquisição de lucro monetário,a fragilidade do serviço social é resultado do financiamento contínuo e da complexidade do problema abordado,"o empreendedorismo social pode ser voltado tanto à melhoria de uma comunidade quanto à obtenção de retorno 
financeiro","os empreendedores sociais privilegiam investimentos em ações nas bolsas de valores, que possibilitam compartilhar 
eventuais prejuízos","o conceito de serviço social é similar ao do empreendedorismo social, pois ambos são ações individuais voltadas à 
formação de agremiações políticas",Vestibulinho 1SEM2022,C
16,"Considere os exemplos:
I Capacitação de produtores familiares do semiárido para o cultivo e a comercialização de produtos orgânicos.
II Construção de sistemas de iluminação utilizando garrafas PET e energia solar disponibilizados a preços acessíveis.
III Organização de campanhas de doação de alimentos e de roupas para vítimas de desastres naturais.
Segundo as definições apresentadas no texto, são exemplos de empreendedorismo social as ações presentes em",I apenas,II apenas,III apenas,I e II apenas,II e III apenas,Vestibulinho 1SEM2022,D
17,"De acordo com o texto, os plásticos são","produzidos diretamente do petróleo, formando pequenas moléculas que serão moldadas",compostos obtidos por reações que usam matéria-prima proveniente do petróleo,macromoléculas com propriedades variadas e não podem ser moldados,estruturas que estão sendo substituídas por outros materiais como o vidro,grandes moléculas que darão origem ao petróleo,Vestibulinho 1SEM2022,B
18,"Os plásticos podem ser moldados, pois “amolecem” com o calor, chegando a sofrer fusão em determinadas temperaturas.
O quadro apresenta o ponto de fusão de alguns tipos de plásticos.
Um 
técnico 
de 
laboratório 
aquece 
separada 
e 
simultaneamente amostras, com massas iguais, de cada 
um dos cinco plásticos do quadro, que estão à mesma 
temperatura inicial.
PLÁSTICO
PONTO DE FUSÃO
PE (polietileno)
220 °C
PET (politereftalato de etileno)
260 °C
O primeiro plástico que sofrerá fusão será o
PP (polipropileno)
160 °C","PS.
PS (poliestireno)
145 °C","PP.
PVC (policloreto de vinila)
115 °C",PE,PET,PVC,Vestibulinho 1SEM2022,E
19,"Em uma usina de reciclagem, os plásticos são separados por diferença de densidade para, posteriormente, serem 
fundidos e remoldados em novos objetos. O quadro apresenta a densidade de alguns plásticos.
Em um tanque com água, colocamos objetos maciços 
confeccionados com os plásticos mencionados.
PLÁSTICO
DENSIDADE
PE (polietileno)
0,92 g/cm3
Os objetos que ficam flutuando na superfície da água são 
confeccionados com
PET (politereftalato de etileno)
1,38 g/cm³
PP (polipropileno)
0,90 g/cm³","PET e PVC.
PS (poliestireno)
1,07 g/cm³","PP e PE.
PVC (policloreto de vinila)
1,40 g/cm³",PS e PVC,"PET, PS e PVC.
Dado: densidade da água = 1,00 g/cm 3","PE, PS e PET",Vestibulinho 1SEM2022,B
20,"De acordo com o texto, é correto afirmar que","as embalagens de latas de flandres, de vidros e de multilaminados vêm substituindo as embalagens PET","os plásticos são amplamente utilizados desde sua descoberta no Brasil, em 1941",o petróleo tem origem nos plásticos que passaram pelo processo de reciclagem,"os plásticos não se deformam, mesmo quando expostos às altas temperaturas",o petróleo é a fonte de diversos tipos de matérias-primas e de combustíveis,Vestibulinho 1SEM2022,E
21,"As latas de flandres, mencionadas no texto, são feitas de uma",mistura revestida de estanho,substância pura revestida de aço,mistura revestida de ferro e carbono,substância composta revestida de ferro,substância simples revestida de estanho,Vestibulinho 1SEM2022,A
22,"Durante a I Guerra Mundial, a economia estadunidense estava em pleno desenvolvimento; suas indústrias 
produziam e exportavam em grandes quantidades, principalmente para os países europeus. No final da década 
de 1920, as nações europeias, recuperando-se dos efeitos negativos da guerra, diminuíram drasticamente a 
importação de produtos industrializados e agrícolas dos Estados Unidos.
Com a diminuição das exportações para a Europa, os estoques das indústrias dos Estados Unidos passaram a 
aumentar, já que essas empresas não conseguiam vender como antes. Grande parte delas tinha ações na Bolsa de 
Valores de Nova Iorque e os milhões de estadunidenses que haviam investido nessas ações correram para tentar 
vendê-las, enquanto seus valores foram caindo gradativamente até o zero.
Essa crise econômica","ficou restrita aos Estados Unidos, pois, no início do século XX, as economias nacionais eram fechadas e, portanto, 
as crises eram localizadas","causou impactos duradouros na economia mundial, abalou os mercados financeiros ao redor do mundo e provocou 
a falência de inúmeras empresas e o desemprego","provocou o aumento da atividade industrial e do emprego nos países africanos, que não foram abalados pela crise 
provocada pelo mercado de ações nos Estados Unidos","demonstrou a força da economia brasileira, que investiu na modernização das lavouras, aumentando a produção e, 
consequentemente, a exportação do café","confirmou a independência dos mercados financeiros, uma vez que foi contornada sem a necessidade de intervenção 
dos governos na economia",Vestibulinho 1SEM2022,B
23,"A pandemia de COVID–19, causada pelo novo coronavírus (SARSCoV–2), evidenciou que desenvolver uma vacina é 
um processo que demanda muita pesquisa e exige um trabalho conjunto de diferentes profissionais da área da 
saúde, tais como médicos, farmacêuticos, biomédicos, engenheiros químicos, entre muitos outros.
Após ser desenvolvida, uma vacina é encaminhada para registro sanitário e, se aprovada pelas agências 
reguladoras, é distribuída para a população.
A produção de uma vacina se baseia no agente causador da doença, o qual estará inativado, atenuado ou 
presente apenas em fragmentos. Dessa maneira, uma vacina possui os antígenos capazes de estimular no 
organismo humano a produção de anticorpos ao simular uma doença infecciosa, garantindo assim a imunização 
contra a doença.
Com base nas informações do texto, pode-se concluir corretamente que","os profissionais da área médica, que atuam no desenvolvimento de vacinas, desenvolvem imunidade a determinadas 
doenças e, por isso, não se contaminam, nem transmitem os agentes causadores da doença para seus pacientes","as vacinas, que são aprovadas pelas agências reguladoras, podem ser produzidas e aplicadas na população a fim 
de atuarem na prevenção das doenças através de anticorpos específicos produzidos pelo organismo humano","a pandemia pode ser definida como a concentração de casos de uma mesma doença em um determinado local sem 
provocar o alastramento em outras regiões","as vacinas possuem os anticorpos obtidos a partir dos agentes causadores da doença e são eficazes no tratamento 
dos pacientes contaminados","a vacina específica para Covid–19 demorou muito tempo para ser produzida, pois a bactéria causadora da doença 
era totalmente desconhecida",Vestibulinho 1SEM2022,B
24,"TEXTO 1
Na Idade Média (476 a 1453), tanto a infância quanto a adolescência não eram reconhecidas como fases 
do desenvolvimento humano. No período de transição para a vida adulta, as maiores preocupações da comunidade 
eram a castidade e o casamento. Esse período não aparentava ser fonte de maiores preocupações: “os filhos 
de artesãos seguiriam artesãos, os pertencentes à aristocracia feudal se encaminhavam para a vida militar 
ou religiosa e o camponês seguiria camponês”.
TEXTO 2
Segundo a Base Nacional Comum Curricular (BNCC), documento que regulamenta a educação básica no Brasil 
do século XXI, os estudantes devem aprender a valorizar a diversidade de saberes e vivências culturais e 
apropriar-se de conhecimentos e experiências, entender as relações próprias do mundo do trabalho e fazer 
escolhas alinhadas ao exercício da cidadania e ao seu projeto de vida, com liberdade, autonomia, consciência 
crítica e responsabilidade. Os estudantes devem conseguir refletir sobre seus desejos e objetivos, aprendendo 
a se organizar, estabelecer metas, planejar e perseguir com determinação, esforço, autoconfiança e persistência 
seus projetos presentes e futuros.
A análise dos textos nos permite concluir corretamente que","na Idade Média crianças e adolescentes, ao chegarem à vida adulta, desempenhariam as atividades reservadas 
ao seu grupo social; no Brasil do século XXI, os estudantes têm liberdade para fazer escolhas de acordo com seus 
desejos e objetivos","a lei garante que, no Brasil do século XXI, ao alcançar a vida adulta, crianças e adolescentes serão sustentados 
pelos programas sociais do Estado, independente de seu esforço, organização e planejamento pessoal","na Idade Média crianças e adolescentes podiam escolher entre ser militares, camponeses ou artesãos; no Brasil 
do século XXI, os estudantes têm opções de carreira limitadas pela BNCC","crianças e adolescentes, no Brasil do século XXI, assim como na Idade Média, não são reconhecidos e, por isso, 
devem se comportar de acordo com os desejos e objetivos dos adultos","na Idade Média os pais se preocupavam com o futuro de seus filhos, uma vez que era preciso ser artesão 
ou camponês para pertencer à aristocracia feudal",Vestibulinho 1SEM2022,A
25,"Comer bem não é comer muito, mas ter uma dieta equilibrada, que atenda às necessidades do corpo e ajude a manter 
a saúde, reduzindo o risco de várias doenças, como recomendam os nutricionistas e os técnicos em nutrição.
Com relação aos tipos de alimentos, às orientações e aos problemas nutricionais, assinale o que for correto.","Na promoção da alimentação saudável para diminuição de casos de obesidade e hipertensão, deve-se incentivar 
o consumo de alimentos industrializados e gordurosos na dieta da população","A celulose presente nas fibras de alimentos como grãos, verduras, legumes e frutas não é digerida pelo organismo 
humano, não fornece calorias, mas estimula o trânsito intestinal","Uma alimentação adequada apresenta grande consumo de frutas e outros vegetais, bem como a alta ingestão 
de gorduras saturadas, sal e carboidratos","O rótulo do alimento que contém a classificação Zero Lactose informa que esse alimento não tem valor calórico 
e é indicado para pacientes diabéticos","Os alimentos como arroz, macarrão e batatas devem ser retirados da dieta, pois não fornecem nenhuma vantagem 
ao organismo",Vestibulinho 1SEM2022,B
26,"Quando se fala em comida, já pensamos em calorias!
Quando ingerimos um alimento, este será “queimado” pelo nosso metabolismo e a energia produzida será usada nas 
nossas atividades do dia a dia. Para calcularmos essa energia produzida por certa quantidade de um alimento, devemos 
queimá-lo em um calorímetro. A reação é realizada dentro de um recipiente que está imerso em água e essa energia é 
expressa na unidade de medida “calorias”.
Leia a frase e complete as lacunas.
I
Durante a reação, a temperatura da água ............., pois temos uma reação
II
III
............., ou seja, que ......... energia.
Assinale a alternativa que completa, correta e respectivamente, a frase
I
II
III","diminui
exotérmica
libera","diminui
endotérmica
absorve","aumenta
endotérmica
libera","aumenta
endotérmica
absorve","aumenta
exotérmica
libera",Vestibulinho 1SEM2022,E
27,"No saneamento básico, a demanda por profissionais especializados é crescente, porque, 
entre outras funções, eles são responsáveis por viabilizarem tanto o tratamento da água 
quanto a coleta, o tratamento e a destinação final dos esgotos.
O saneamento precário cria o ambiente propício a muitas doenças, como diarreia, hepatite 
e verminoses, causadas pela ingestão de água e/ou alimentos contaminados.
A incidência de casos de dengue, por sua vez, segundo informações do Ministério da 
Saúde, tem aumentado muito devido à presença de água parada em muitos locais. 
Nesse caso, o saneamento básico é essencial a fim de evitar as chances da ocorrência de 
surto de dengue.
Sobre esta doença, pode-se afirmar corretamente que é","contagiosa, ou seja, pode ser transmitida de pessoa para pessoa e também pelo consumo de água contaminada","limitada a regiões tropicais devido à falta de saneamento básico e à presença do protozoário causador desse tipo 
de enfermidade","prevenida com o tratamento da água e do esgoto; a higienização dos alimentos e das mãos; e a evitação de locais 
com água parada","evitada pela substituição de casas de pau a pique por casas de alvenaria, pois os insetos transmissores se 
reproduzem nas paredes das casas de barro","causada por um tipo de vírus transmitido pela picada de mosquitos contaminados e, entre seus principais sintomas, 
destacam-se a febre, as dores no corpo e as manchas vermelhas",Vestibulinho 1SEM2022,E
28,"No tratamento de água, usamos processos físicos 
e químicos para obtenção de água potável que 
será distribuída à população.
Os processos físicos descritos são denominados, 
respectivamente, de","floculação e decantação.
Entre os processos físicos, temos","decantação e filtração.
separação 
de 
partículas 
com 
maior 
densidade, que irão para o fundo do tanque e, 
posteriormente, serão extraídas;
 retenção de pequenas partículas, quando 
a água passa por tanques que possuem 
diferentes camadas de cascalho, areia e carvão",filtração e cloração,floculação e filtração,decantação e cloração,Vestibulinho 1SEM2022,B
29,"O hemograma, exame que demonstra as variações 
quantitativas e morfológicas das células do sangue, 
pode ser realizado por biomédicos especialistas em 
análises clínicas.
Considerando esse hemograma, pode-se concluir que 
Pedro tem",um processo infeccioso,"problemas na coagulação do sangue.
Pedro, após uma consulta de rotina, realizou um 
hemograma solicitado por um médico, que evidenciou 
alteração na taxa de hemácias (glóbulos vermelhos), 
a qual estava muito abaixo do normal",dificuldade no transporte de oxigênio no sangue,"hipersensibilidade 
do 
sistema 
imunológico 
a 
determinadas substâncias","uma doença causada pela produção insuficiente ou 
má absorção de insulina.
Leia ao texto para responder às questões 30 e 31.
Fernanda estuda Design de Interiores na Etec Albert Einstein. Como parte 
de um trabalho desenvolvido em seu curso, ela planejou a fixação de um 
painel retangular decorativo composto por espelhos. As dimensões do 
painel estão indicadas na figura, sendo x e y positivos.
OBSERVAÇÃO
Para todos os cálculos, despreze a necessidade de deixar 
espaços entre os espelhos ao formar o painel",Vestibulinho 1SEM2022,C
30,"Assinale a alternativa que apresenta as expressões algébricas da área e do perímetro do painel decorativo de espelhos.
Área
Perímetro","3xy
3x + y","3 + xy
6x + 2y","3x2y2
6x + y2","3xy
6x + 2y","3x2y2
3x + y",Vestibulinho 1SEM2022,D
31,"No painel decorativo, a primeira fileira de baixo para cima é toda formada por espelhos retangulares de mesmo 
comprimento.
Se o painel tiver um total de 3 metros de comprimento, então a medida do comprimento de cada espelho, em 
centímetros, é",300,100,75,50,25,Vestibulinho 1SEM2022,C
32,"As enchentes são fenômenos naturais, as quais estão tomando grandes proporções em áreas urbanizadas devido aos 
processos de transformações do espaço natural pela ação humana.
Algumas práticas ambientais podem ajudar a diminuir as enchentes em áreas urbanas.
Assinale a alternativa que apresenta corretamente uma dessas práticas ambientais.","Jogar o lixo em valas e nas encostas para ser levado pela água da chuva até os pontos mais baixos, onde estão os 
canais de drenagem, os rios e os bueiros","Impermeabilizar as vias públicas, os quintais e as calçadas, a fim de impedir que grande parte do volume de água 
precipitado pelas chuvas penetre no solo","Permitir os processos de assoreamento, a erosão e a sedimentação nos rios, a fim de dificultar o transbordamento 
dos cursos de água","Diminuir a eficiência dos sistemas de drenagem, que visam conter ou escoar o curso das enxurradas por meio de 
bocas-de-lobo, piscinões ou dutos",Construir e preservar áreas verdes uma vez que a vegetação facilita o processo de infiltração da água da chuva no solo,Vestibulinho 1SEM2022,E
33,"A “pejotização” é conhecida como uma prática do empregador em contratar um funcionário como pessoa jurídica 
(PJ) ou de dispensar um empregado com registro em carteira e recontratá-lo na forma de PJ. Em qualquer dos casos, 
é necessário que o funcionário constitua formalmente uma PJ. Com isso, a empresa deixa de arcar com alguns 
encargos previdenciários e trabalhistas.
De acordo com o texto, é correto afirmar que “pejotização”",obriga os patrões a constituírem uma empresa para registrar seus funcionários em carteira de trabalho,é uma norma constitucional que obriga os advogados a pagarem os custos dos processos trabalhistas,"é uma prática adotada por empresas que pretendem reduzir os custos sobre sua folha de pagamento e deriva 
da expressão “pessoa jurídica”","transfere o pagamento de encargos previdenciários e trabalhistas para os governos municipais, de acordo com 
a Consolidação das Leis do Trabalho","exige que os trabalhadores de entrega por aplicativos criem empresas cooperativadas para facilitar o registro 
em carteira dessa categoria pelas empresas contratantes",Vestibulinho 1SEM2022,C
34,"O princípio dos vasos comunicantes, pelo fato de os líquidos se nivelarem 
em recipientes que se interligam, é usado em diferentes situações.
Por exemplo, para acertar o nível entre dois pontos em uma obra, os pedreiros 
utilizam uma mangueira transparente com água, conforme a imagem.
Dentre as alternativas, assinale aquela que melhor representa esse princípio.",,,,,,Vestibulinho 1SEM2022,E
